Currency,USD,Inv USD,Lat,Lon
Argentine Peso,105.646642,0.009466,-38.416097,-63.616672
Australian Dollar,1.403362,0.712575,-25.274398,133.775136
Bahraini Dinar,0.376,2.659574,25.930414,50.637772
Botswana Pula,11.594581,0.086247,-22.328474,24.684866
Brazilian Real,5.264651,0.189946,-14.235004,-51.92528
British Pound,0.738865,1.353426,55.378051,-3.435973
Bruneian Dollar,1.344099,0.743993,4.535277,114.727669
Bulgarian Lev,1.709288,0.585039,42.733883,25.48583
Canadian Dollar,1.266922,0.789314,56.130366,-106.346771
Chilean Peso,824.649322,0.001213,-35.675147,-71.542969
Chinese Yuan Renminbi,6.359651,0.157241,35.86166,104.195397
Colombian Peso,3964.443424,0.000252,4.570868,-74.297333
Croatian Kuna,6.574344,0.152106,45.1,15.2
Czech Koruna,21.177355,0.04722,49.817492,15.472962
Danish Krone,6.505429,0.153718,56.26392,9.501785
Emirati Dirham,3.6725,0.272294,23.424076,53.847818
Euro,0.873945,1.144236,40.463667,-3.74922
Hong Kong Dollar,7.792551,0.128328,22.396428,114.109497
Hungarian Forint,309.198534,0.003234,47.162494,19.503304
Icelandic Krona,124.977886,0.008001,64.963051,-19.020835
Indian Rupee,74.653987,0.013395,20.593684,78.96288
Indonesian Rupiah,14395.46117,0.000069,-0.789275,113.921327
Iranian Rial,42233.34563,0.000024,32.427908,53.688046
Israeli Shekel,3.192346,0.313249,31.046051,34.851612
Japanese Yen,115.09231,0.008689,36.204824,138.252924
Kazakhstani Tenge,430.353808,0.002324,48.019573,66.923684
Kuwaiti Dinar,0.3022,3.309065,29.31166,47.481766
Libyan Dinar,4.57923,0.218377,26.3351,17.228331
Malaysian Ringgit,4.185323,0.23893,4.210484,101.975766
Mauritian Rupee,43.828259,0.022816,-20.348404,57.552152
Mexican Peso,20.603849,0.048535,23.634501,-102.552784
Nepalese Rupee,119.502369,0.008368,28.394857,84.124008
New Zealand Dollar,1.50731,0.663434,-40.900557,174.885971
Norwegian Krone,8.770567,0.114018,60.472024,8.468946
Omani Rial,0.3845,2.60078,21.512583,55.923255
Pakistani Rupee,174.616961,0.005727,30.375321,69.345116
Philippine Peso,51.516953,0.019411,12.879721,121.774017
Polish Zloty,3.963504,0.252302,51.919438,19.145136
Qatari Riyal,3.64,0.274725,25.354826,51.183884
Romanian New Leu,4.32207,0.231371,45.943161,24.96676
Russian Ruble,75.346517,0.013272,61.52401,105.318756
Saudi Arabian Riyal,3.75,0.266667,23.885942,45.079162
Singapore Dollar,1.344099,0.743993,1.352083,103.819836
South African Rand,15.50977,0.064475,-30.559482,22.937506
South Korean Won,1197.050932,0.000835,35.907757,127.766922
Sri Lankan Rupee,202.635557,0.004935,7.873054,80.771797
Swedish Krona,9.12899,0.109541,60.128161,18.643501
Swiss Franc,0.923477,1.082864,46.818188,8.227512
Taiwan New Dollar,27.814006,0.035953,23.69781,120.960515
Thai Baht,32.985991,0.030316,15.870032,100.992541
Trinidadian Dollar,6.759537,0.147939,10.691803,-61.222503
Turkish Lira,13.59619,0.07355,38.963745,35.243322
Venezuelan Bolivar,450860.2278,0.000002,6.42375,-66.58973